Average_AP,Average_SP,Average_Average_Points,Match_Number,Team_ID,Winner
20.285714285714285,421.14285714285717,73.62714285714286,147,156541,1
19.214285714285715,394.42857142857144,63.105000000000004,147,105385,0
45.09090909090909,508.27272727272725,117.76181818181817,147,153219,0
43.7,460.6,107.89299999999999,148,154078,1
45.04,479.84,115.5712,148,64218,1
37.68,524.36,111.10519999999998,148,75585,0
47.0,519.16,121.9148,148,141601,0
35.6,543.68,99.414,149,125280,1
28.6,300.85,78.69499999999998,149,142619,1
24.533333333333335,431.73333333333335,98.97533333333332,149,155861,0
38.48,390.12,89.32320000000001,149,100219,0
28.25,455.0625,82.358125,150,156873,0
34.72,529.12,111.684,150,56090,0
19.7,234.0,43.067,150,38371,1
53.92,586.96,127.2464,150,123261,1
26.46153846153846,495.3076923076923,85.15923076923076,151,155593,0
24.36,328.0,63.897999999999996,151,51868,0
35.32,501.36,115.6036,151,72998,1
22.857142857142858,415.07142857142856,67.87642857142858,151,156872,1
56.2,671.24,134.06239999999997,152,84097,0
29.5,514.3125,83.48875,152,139304,0
22.0,485.25,88.21000000000001,152,164321,1
45.04,484.88,111.58879999999999,152,38959,1
20.263157894736842,429.7894736842105,89.82210526315792,153,134679,0
34.8,479.28,102.75399999999999,153,57436,0
31.3,392.8,77.996,153,110526,1
51.56,619.0,89.2544,153,83437,1
24.08,448.24,98.0372,154,112249,0
40.04,486.36,97.19439999999999,154,50691,0
39.4,498.64,109.5816,154,110041,1
25.56,420.48,83.4972,154,19300,1
39.041666666666664,575.9166666666666,119.05125,155,138787,0
34.72,470.68,108.45039999999999,155,99490,0
24.96,335.56,68.8476,155,62980,1
24.0,402.6666666666667,71.34666666666668,155,162234,1
39.2,428.6,101.48066666666668,156,134029,0
38.88,507.8,123.48200000000001,156,66344,0
36.333333333333336,426.0952380952381,88.81142857142856,156,130641,1
19.555555555555557,381.55555555555554,82.13555555555554,156,159925,1
40.72,519.56,104.37559999999999,157,129791,1
31.0,497.68,93.12440000000002,157,109359,1
37.13333333333333,399.93333333333334,85.978,157,107689,0
45.04,479.84,115.5712,157,64218,0
24.533333333333335,431.73333333333335,98.97533333333332,158,155861,0
34.46153846153846,506.7692307692308,95.33384615384617,158,156028,0
29.333333333333332,577.8333333333334,105.95333333333333,158,163302,1
48.666666666666664,549.3333333333334,111.39625000000001,158,141371,1
41.32,504.36,101.64920000000001,159,110896,1
20.285714285714285,421.14285714285717,73.62714285714286,159,156541,1
34.72,529.12,111.684,159,56090,0
32.9,534.5,102.53599999999999,159,153399,0
19.7,234.0,43.067,160,38371,1
22.857142857142858,415.07142857142856,67.87642857142858,160,156872,1
31.142857142857142,379.7142857142857,93.4407142857143,160,133872,0
34.96,520.84,127.0772,160,140116,0
34.22222222222222,608.0,106.34333333333333,161,154568,0
35.32,501.36,115.6036,161,72998,0
16.555555555555557,242.88888888888889,44.154444444444444,161,38374,1
35.44,504.0,106.08359999999999,161,130942,1
43.7,460.6,107.89299999999999,162,154078,0
41.31818181818182,402.72727272727275,88.34999999999997,162,82537,0
54.0,621.4,99.20640000000002,162,110370,1
25.0,401.0625,79.420625,162,156870,1
35.6,543.68,99.414,163,125280,0
47.0,519.16,121.9148,163,141601,0
37.578947368421055,549.8947368421053,103.11999999999999,163,140100,1
28.25,455.0625,82.358125,163,156873,1
28.444444444444443,471.0,96.78555555555555,164,159927,0
45.04,484.88,111.58879999999999,164,38959,0
53.92,586.96,127.2464,164,123261,1
28.64,529.08,100.2852,164,93380,1
38.28,506.8,116.00679999999998,165,111002,0
42.2,548.48,116.36320000000002,165,78936,0
42.6,520.52,108.6144,165,130941,1
45.09090909090909,508.27272727272725,117.76181818181817,165,153219,1
24.36,328.0,63.897999999999996,166,51868,0
38.6,444.88,85.66160000000002,166,39034,0
29.5,514.3125,83.48875,166,139304,1
23.5625,332.25,65.91125,166,134681,1
22.0,485.25,88.21000000000001,167,164321,1
32.92,573.8,119.6772,167,40093,1
34.28,421.24,89.74680000000002,167,109305,0
33.19047619047619,515.7142857142857,104.6161904761905,167,140966,0
36.391304347826086,541.5652173913044,127.65739130434783,168,138786,0
33.16,616.92,78.49,168,98888,0
